,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
73,8482701312,24596601225.666668,72060000000,8482701312,323584,2018-10-09T05:33:45.644112517Z,73789803677,1820000000
74,8491614208,24930490033.333332,73070000000,8491614208,323584,2018-10-09T05:33:46.647876016Z,74791470100,1820000000
75,8492793856,25264133008.666668,74070000000,8492793856,323584,2018-10-09T05:33:47.650424885Z,75792399026,1820000000
76,8494104576,25597485192.333332,75080000000,8494104576,323584,2018-10-09T05:33:48.638212983Z,76792455577,1820000000
77,8495415296,25930712276.666668,76080000000,8495415296,323584,2018-10-09T05:33:49.640373133Z,77792136830,1820000000
78,8496726016,26263887699.0,77080000000,8496726016,323584,2018-10-09T05:33:50.643136589Z,78791663097,1820000000
79,8498167808,26600112992.666668,78090000000,8498167808,323584,2018-10-09T05:33:51.647831425Z,79800338978,1820000000
80,8508129280,26933519965.0,79090000000,8508129280,323584,2018-10-09T05:33:52.651187439Z,80800559895,1820000000
81,8509440000,27266062106.0,80090000000,8509440000,323584,2018-10-09T05:33:53.65491837Z,81798186318,1820000000
82,8510750720,27602715393.0,81100000000,8510750720,323584,2018-10-09T05:33:54.657429381Z,82808146179,1820000000
83,8512061440,27935844991.0,82100000000,8512061440,323584,2018-10-09T05:33:55.660284183Z,83807534973,1820000000
84,8513372160,28269424290.666668,83100000000,8513372160,323584,2018-10-09T05:33:56.663031184Z,84808272872,1820000000
85,8514682880,28605419913.666668,84110000000,8514682880,323584,2018-10-09T05:33:57.667143372Z,85816259741,1820000000
86,8515993600,28938322242.333332,85110000000,8515993600,323584,2018-10-09T05:33:58.669972359Z,86814966727,1820000000
87,8527003648,29272267754.666668,86110000000,8527003648,323584,2018-10-09T05:33:59.674206403Z,87816803264,1820000000
88,8528183296,29608129435.666668,87120000000,8528183296,323584,2018-10-09T05:34:00.677082131Z,88824388307,1820000000
89,8529494016,29941604293.666668,88120000000,8529494016,323584,2018-10-09T05:34:01.679591252Z,89824812881,1820000000
90,8530804736,30274765704.666668,89110000000,8530804736,323584,2018-10-09T05:34:02.682985253Z,90824297114,1830000000
91,8531984384,30610927214.0,90120000000,8531984384,323584,2018-10-09T05:34:03.687198723Z,91832781642,1830000000
92,8533426176,30944373240.0,91120000000,8533426176,323584,2018-10-09T05:34:04.68988914Z,92833119720,1830000000
93,8534605824,31277595385.666668,92120000000,8534605824,323584,2018-10-09T05:34:05.69279973Z,93832786157,1830000000
94,8535785472,31613538737.666668,93130000000,8535785472,323584,2018-10-09T05:34:06.69689547Z,94840616213,1830000000
95,8547975168,31946606535.0,94130000000,8547975168,323584,2018-10-09T05:34:07.700253997Z,95839819605,1830000000
96,8549285888,32280404472.333332,95130000000,8549285888,323584,2018-10-09T05:34:08.704370255Z,96841213417,1830000000
97,8550465536,32616649744.333332,96140000000,8550465536,323584,2018-10-09T05:34:09.713875954Z,97849949233,1830000000
98,8551776256,32953141549.333332,97150000000,8551776256,323584,2018-10-09T05:34:10.71853802Z,98859424648,1830000000
99,8553086976,33286034603.0,98150000000,8553086976,323584,2018-10-09T05:34:11.721826835Z,99858103809,1830000000
100,8554266624,33622094361.666668,99160000000,8554266624,323584,2018-10-09T05:34:12.725756306Z,100866283085,1830000000
101,8555446272,33955878030.0,100160000000,8555446272,323584,2018-10-09T05:34:13.728378896Z,101867634090,1830000000
102,8556625920,34289180130.0,101160000000,8556625920,323584,2018-10-09T05:34:14.73120441Z,102867540390,1830000000
103,8557936640,34621745002.333336,102160000000,8557936640,323584,2018-10-09T05:34:15.735123068Z,103865235007,1830000000
104,8559247360,34958586389.666664,103170000000,8559247360,323584,2018-10-09T05:34:16.738504658Z,104875759169,1830000000
105,8572747776,35291414111.0,104170000000,8572747776,323584,2018-10-09T05:34:17.741389726Z,105874242333,1830000000
106,8574058496,35627012628.0,105170000000,8574058496,323584,2018-10-09T05:34:18.734771285Z,106881037884,1840000000
107,8575369216,35960285586.333336,106170000000,8575369216,323584,2018-10-09T05:34:19.739158863Z,107880856759,1840000000
108,8576548864,36296554888.0,107180000000,8576548864,323584,2018-10-09T05:34:20.74356363Z,108889664664,1840000000
109,8577859584,36629772460.666664,108180000000,8577859584,323584,2018-10-09T05:34:21.746481477Z,109889317382,1840000000
110,8579170304,36963168375.0,109170000000,8579170304,323584,2018-10-09T05:34:22.749306349Z,110889505125,1850000000
111,8580349952,37296674430.666664,110170000000,8580349952,323584,2018-10-09T05:34:23.751466513Z,111890023292,1850000000
112,8581660672,37632433470.666664,111170000000,8581660672,323584,2018-10-09T05:34:24.754180381Z,112897300412,1860000000
113,8582840320,37965646342.333336,112170000000,8582840320,323584,2018-10-09T05:34:25.756641092Z,113896939027,1860000000
114,8584151040,38299050018.0,113170000000,8584151040,323584,2018-10-09T05:34:26.761239416Z,114897150054,1860000000
115,8599224320,38635227908.666664,114180000000,8599224320,323584,2018-10-09T05:34:27.764055418Z,115905683726,1860000000
116,8600403968,38968367309.333336,115180000000,8600403968,323584,2018-10-09T05:34:28.766472784Z,116905101928,1860000000
117,8601714688,39302066782.666664,116180000000,8601714688,323584,2018-10-09T05:34:29.769675715Z,117906200348,1860000000
118,8602894336,39638126812.0,117190000000,8602894336,323584,2018-10-09T05:34:30.774814393Z,118914380436,1860000000
119,8604073984,39971105050.333336,118190000000,8604073984,323584,2018-10-09T05:34:31.778184519Z,119913315151,1860000000
120,8605253632,40304595928.666664,119190000000,8605253632,323584,2018-10-09T05:34:32.781644774Z,120913787786,1860000000
121,8606433280,40640999831.333336,120200000000,8606433280,323584,2018-10-09T05:34:33.785652771Z,121922999494,1860000000
122,8607612928,40974401342.666664,121200000000,8607612928,323584,2018-10-09T05:34:34.788242418Z,122923204028,1860000000
123,8608792576,41306990471.666664,122200000000,8608792576,323584,2018-10-09T05:34:35.791472845Z,123920971415,1860000000
124,8609972224,41643293243.0,123210000000,8609972224,323584,2018-10-09T05:34:36.794253772Z,124929879729,1860000000
125,8611151872,41977021153.666664,124210000000,8611151872,323584,2018-10-09T05:34:37.79629299Z,125931063461,1860000000
126,8612331520,42309971350.333336,125210000000,8612331520,323584,2018-10-09T05:34:38.798456561Z,126929914051,1860000000
127,8613511168,42642828237.666664,126200000000,8613511168,323584,2018-10-09T05:34:39.801603675Z,127928484713,1870000000
128,8630288384,42979620433.666664,127210000000,8630288384,323584,2018-10-09T05:34:40.805124687Z,128938861301,1870000000
129,8631468032,43312635777.0,128210000000,8631468032,323584,2018-10-09T05:34:41.807787401Z,129937907331,1870000000
130,8632647680,43645451799.0,129210000000,8632647680,323584,2018-10-09T05:34:42.81192803Z,130936355397,1870000000
131,8634089472,43982445354.0,130220000000,8634089472,323584,2018-10-09T05:34:43.81548717Z,131947336062,1870000000
132,8635400192,44315160998.666664,131220000000,8635400192,323584,2018-10-09T05:34:44.81868009Z,132945482996,1870000000
133,8636710912,44648879794.0,132220000000,8636710912,323584,2018-10-09T05:34:45.821952957Z,133946639382,1870000000
134,8637890560,44984982756.333336,133230000000,8637890560,323584,2018-10-09T05:34:46.825052465Z,134954948269,1870000000
135,8639201280,45317280818.333336,134230000000,8639201280,323584,2018-10-09T05:34:47.808230195Z,135951842455,1870000000
136,8640380928,45651140258.333336,135220000000,8640380928,323584,2018-10-09T05:34:48.81109614Z,136953420775,1880000000
137,8641560576,45983536279.333336,136210000000,8641560576,323584,2018-10-09T05:34:49.813211809Z,137950608838,1890000000
138,8643002368,46320401843.333336,137220000000,8643002368,323584,2018-10-09T05:34:50.815967146Z,138961205530,1890000000
139,8644182016,46652726803.0,138220000000,8644182016,323584,2018-10-09T05:34:51.82222421Z,139958180409,1890000000
140,8645492736,46988982971.333336,139230000000,8645492736,323584,2018-10-09T05:34:52.825601911Z,140966948914,1890000000
141,8664367104,47322484934.333336,140220000000,8664367104,323584,2018-10-09T05:34:53.832688491Z,141967454803,1900000000
142,8665546752,47658454027.0,141230000000,8665546752,323584,2018-10-09T05:34:54.835228293Z,142975362081,1900000000
143,8666857472,47991738735.666664,142230000000,8666857472,323584,2018-10-09T05:34:55.837491771Z,143975216207,1900000000
144,8668168192,48325208429.666664,143230000000,8668168192,323584,2018-10-09T05:34:56.839457648Z,144975625289,1900000000
145,8669478912,48658335201.0,144230000000,8669478912,323584,2018-10-09T05:34:57.842465391Z,145975005603,1900000000
146,8670658560,48994847423.333336,145230000000,8670658560,323584,2018-10-09T05:34:58.846581853Z,146984542270,1910000000
147,8671969280,49328048617.666664,146230000000,8671969280,323584,2018-10-09T05:34:59.850503174Z,147984145853,1910000000
148,8673280000,49663770186.0,147240000000,8673280000,323584,2018-10-09T05:35:00.853906662Z,148991310558,1910000000
149,8674459648,49997246648.333336,148240000000,8674459648,323584,2018-10-09T05:35:01.857014304Z,149991739945,1910000000
150,8675770368,50330580637.0,149240000000,8675770368,323584,2018-10-09T05:35:02.861947434Z,150991741911,1910000000
151,8676950016,50666574457.333336,150250000000,8676950016,323584,2018-10-09T05:35:03.864635843Z,151999723372,1910000000
